Token,Gold,Predicted,Correct,Tagger
employ,VB,VB,True,Stanza
at,IN,IN,True,Stanza
a,DT,DT,True,Stanza
high,JJ,JJ,True,Stanza
level,NN,NN,True,Stanza
members,NNS,NNS,True,Stanza
of,IN,IN,True,Stanza
the,DT,DT,True,Stanza
Weathermen,NNPS,NNPS,True,Stanza
bombers,NNS,NNS,True,Stanza
back,RB,RB,True,Stanza
in,IN,IN,True,Stanza
the,DT,DT,True,Stanza
1960s,NNS,NNS,True,Stanza
.,.,.,True,Stanza
The,DT,DT,True,Stanza
third,JJ,JJ,True,Stanza
was,VBD,VBD,True,Stanza
being,VBG,VBG,True,Stanza
run,VBN,VBN,True,Stanza
by,IN,IN,True,Stanza
the,DT,DT,True,Stanza
head,NN,NN,True,Stanza
of,IN,IN,True,Stanza
an,DT,DT,True,Stanza
investment,NN,NN,True,Stanza
firm,NN,NN,True,Stanza
.,.,.,True,Stanza
You,PRP,PRP,True,Stanza
wonder,VBP,VBP,True,Stanza
if,IN,IN,True,Stanza
he,PRP,PRP,True,Stanza
was,VBD,VBD,True,Stanza
manipulating,VBG,VBG,True,Stanza
the,DT,DT,True,Stanza
market,NN,NN,True,Stanza
with,IN,IN,True,Stanza
his,PRP$,PRP$,True,Stanza
bombing,NN,NN,True,Stanza
targets,NNS,NNS,True,Stanza
.,.,.,True,Stanza
The,DT,DT,True,Stanza
cells,NNS,NNS,True,Stanza
were,VBD,VBD,True,Stanza
operating,VBG,VBG,True,Stanza
in,IN,IN,True,Stanza
the,DT,DT,True,Stanza
Ghazaliyah,NNP,NNP,True,Stanza
and,CC,CC,True,Stanza
al,NNP,NNP,True,Stanza
-,HYPH,HYPH,True,Stanza
Jihad,NNP,NNP,True,Stanza
districts,NNS,NNS,True,Stanza
of,IN,IN,True,Stanza
the,DT,DT,True,Stanza
capital,NN,NN,True,Stanza
.,.,.,True,Stanza
Although,IN,IN,True,Stanza
the,DT,DT,True,Stanza
announcement,NN,NN,True,Stanza
was,VBD,VBD,True,Stanza
probably,RB,RB,True,Stanza
made,VBN,VBN,True,Stanza
to,TO,TO,True,Stanza
show,VB,VB,True,Stanza
progress,NN,NN,True,Stanza
in,IN,IN,True,Stanza
identifying,VBG,VBG,True,Stanza
and,CC,CC,True,Stanza
breaking,VBG,VBG,True,Stanza
up,RP,RP,True,Stanza
terror,NN,NN,True,Stanza
cells,NNS,NNS,True,Stanza
",",",",",",True,Stanza
I,PRP,PRP,True,Stanza
do,VBP,VB,False,Stanza
n't,RB,RB,True,Stanza
find,VB,VB,True,Stanza
the,DT,DT,True,Stanza
news,NN,NN,True,Stanza
that,IN,IN,True,Stanza
the,DT,DT,True,Stanza
Baathists,NNPS,NNPS,True,Stanza
continue,VBP,VBP,True,Stanza
to,TO,TO,True,Stanza
penetrate,VB,VB,True,Stanza
the,DT,DT,True,Stanza
Iraqi,JJ,JJ,True,Stanza
government,NN,NN,True,Stanza
very,RB,RB,True,Stanza
hopeful,JJ,JJ,True,Stanza
.,.,.,True,Stanza
It,PRP,PRP,True,Stanza
reminds,VBZ,VBZ,True,Stanza
me,PRP,PRP,True,Stanza
too,RB,RB,True,Stanza
much,RB,JJ,False,Stanza
of,IN,IN,True,Stanza
the,DT,DT,True,Stanza
ARVN,NNP,NNP,True,Stanza
officers,NNS,NNS,True,Stanza
who,WP,WP,True,Stanza
were,VBD,VBD,True,Stanza
secretly,RB,RB,True,Stanza
working,VBG,VBG,True,Stanza
for,IN,IN,True,Stanza
the,DT,DT,True,Stanza
other,JJ,JJ,True,Stanza
side,NN,NN,True,Stanza
in,IN,IN,True,Stanza
Vietnam,NNP,NNP,True,Stanza
.,.,.,True,Stanza
Al,NNP,NNP,True,Stanza
-,HYPH,HYPH,True,Stanza
Zaman,NNP,NNP,True,Stanza
:,:,:,True,Stanza
Guerrillas,NNS,NNS,True,Stanza
killed,VBD,VBD,True,Stanza
a,DT,DT,True,Stanza
member,NN,NN,True,Stanza
of,IN,IN,True,Stanza
the,DT,DT,True,Stanza
Kurdistan,NNP,NNP,True,Stanza
Democratic,NNP,NNP,True,Stanza
Party,NNP,NNP,True,Stanza
after,IN,IN,True,Stanza
kidnapping,VBG,VBG,True,Stanza
him,PRP,PRP,True,Stanza
in,IN,IN,True,Stanza
Mosul,NNP,NNP,True,Stanza
.,.,.,True,Stanza
The,DT,DT,True,Stanza
police,NN,NN,True,Stanza
commander,NN,NN,True,Stanza
of,IN,IN,True,Stanza
Ninevah,NNP,NNP,True,Stanza
Province,NNP,NNP,True,Stanza
announced,VBD,VBD,True,Stanza
that,IN,IN,True,Stanza
bombings,NNS,NNS,True,Stanza
had,VBD,VBD,True,Stanza
declined,VBN,VBN,True,Stanza
80,CD,CD,True,Stanza
percent,NN,NN,True,Stanza
in,IN,IN,True,Stanza
Mosul,NNP,NNP,True,Stanza
",",",",",",True,Stanza
whereas,IN,IN,True,Stanza
there,EX,EX,True,Stanza
had,VBD,VBD,True,Stanza
been,VBN,VBN,True,Stanza
a,DT,DT,True,Stanza
big,JJ,JJ,True,Stanza
jump,NN,NN,True,Stanza
in,IN,IN,True,Stanza
the,DT,DT,True,Stanza
number,NN,NN,True,Stanza
of,IN,IN,True,Stanza
kidnappings,NNS,NNS,True,Stanza
.,.,.,True,Stanza
On,IN,IN,True,Stanza
Wednesday,NNP,NNP,True,Stanza
guerrillas,NNS,NNS,True,Stanza
had,VBD,VBD,True,Stanza
kidnapped,VBN,VBN,True,Stanza
a,DT,DT,True,Stanza
cosmetic,JJ,JJ,True,Stanza
surgeon,NN,NN,True,Stanza
and,CC,CC,True,Stanza
his,PRP$,PRP$,True,Stanza
wife,NN,NN,True,Stanza
while,IN,IN,True,Stanza
they,PRP,PRP,True,Stanza
were,VBD,VBD,True,Stanza
on,IN,IN,True,Stanza
their,PRP$,PRP$,True,Stanza
way,NN,NN,True,Stanza
home,RB,RB,True,Stanza
.,.,.,True,Stanza
In,IN,IN,True,Stanza
Suwayrah,NNP,NNP,True,Stanza
",",",",",",True,Stanza
Kut,NNP,NNP,True,Stanza
Province,NNP,NNP,True,Stanza
",",",",",",True,Stanza
two,CD,CD,True,Stanza
car,NN,NN,True,Stanza
bombs,NNS,NNS,True,Stanza
were,VBD,VBD,True,Stanza
discovered,VBN,VBN,True,Stanza
before,IN,IN,True,Stanza
they,PRP,PRP,True,Stanza
could,MD,MD,True,Stanza
be,VB,VB,True,Stanza
detonated,VBN,VBN,True,Stanza
.,.,.,True,Stanza
Al,NNP,NNP,True,spaCy
-,HYPH,HYPH,True,spaCy
Zaman,NNP,NNP,True,spaCy
:,:,:,True,spaCy
American,JJ,JJ,True,spaCy
forces,NNS,NNS,True,spaCy
killed,VBD,VBD,True,spaCy
Shaikh,NNP,NNP,True,spaCy
Abdullah,NNP,NNP,True,spaCy
al,NNP,NNP,True,spaCy
-,HYPH,HYPH,True,spaCy
Ani,NNP,NNP,True,spaCy
",",",",",",True,spaCy
the,DT,DT,True,spaCy
preacher,NN,NN,True,spaCy
at,IN,IN,True,spaCy
the,DT,DT,True,spaCy
mosque,NN,NN,True,spaCy
in,IN,IN,True,spaCy
the,DT,DT,True,spaCy
town,NN,NN,True,spaCy
of,IN,IN,True,spaCy
Qaim,NNP,NNP,True,spaCy
",",",",",",True,spaCy
near,IN,IN,True,spaCy
the,DT,DT,True,spaCy
Syrian,JJ,JJ,True,spaCy
border,NN,NN,True,spaCy
.,.,.,True,spaCy
[,-LRB-,-LRB-,True,spaCy
This,DT,DT,True,spaCy
killing,NN,NN,True,spaCy
of,IN,IN,True,spaCy
a,DT,DT,True,spaCy
respected,JJ,JJ,True,spaCy
cleric,NN,NN,True,spaCy
will,MD,MD,True,spaCy
be,VB,VB,True,spaCy
causing,VBG,VBG,True,spaCy
us,PRP,PRP,True,spaCy
trouble,NN,NN,True,spaCy
for,IN,IN,True,spaCy
years,NNS,NNS,True,spaCy
to,TO,TO,True,spaCy
come,VB,VB,True,spaCy
.,.,.,True,spaCy
],-RRB-,-RRB-,True,spaCy
DPA,NNP,XX,False,spaCy
:,:,:,True,spaCy
Iraqi,JJ,JJ,True,spaCy
authorities,NNS,NNS,True,spaCy
announced,VBD,VBD,True,spaCy
that,IN,IN,True,spaCy
they,PRP,PRP,True,spaCy
had,VBD,VBD,True,spaCy
busted,VBN,VBN,True,spaCy
up,RP,RP,True,spaCy
3,CD,CD,True,spaCy
terrorist,JJ,JJ,True,spaCy
cells,NNS,NNS,True,spaCy
operating,VBG,VBG,True,spaCy
in,IN,IN,True,spaCy
Baghdad,NNP,NNP,True,spaCy
.,.,.,True,spaCy
Two,CD,CD,True,spaCy
of,IN,IN,True,spaCy
them,PRP,PRP,True,spaCy
were,VBD,VBD,True,spaCy
being,VBG,VBG,True,spaCy
run,VBN,VBN,True,spaCy
by,IN,IN,True,spaCy
2,CD,CD,True,spaCy
officials,NNS,NNS,True,spaCy
of,IN,IN,True,spaCy
the,DT,DT,True,spaCy
Ministry,NNP,NNP,True,spaCy
of,IN,IN,True,spaCy
the,DT,DT,True,spaCy
Interior,NNP,NNP,True,spaCy
!,.,.,True,spaCy
The,DT,DT,True,spaCy
MoI,NNP,NN,False,spaCy
in,IN,IN,True,spaCy
Iraq,NNP,NNP,True,spaCy
is,VBZ,VBZ,True,spaCy
equivalent,JJ,JJ,True,spaCy
to,IN,IN,True,spaCy
the,DT,DT,True,spaCy
US,NNP,NNP,True,spaCy
FBI,NNP,NNP,True,spaCy
",",",",",",True,spaCy
so,RB,CC,False,spaCy
this,DT,DT,True,spaCy
would,MD,MD,True,spaCy
be,VB,VB,True,spaCy
like,IN,IN,True,spaCy
having,VBG,VBG,True,spaCy
J.,NNP,NNP,True,spaCy
Edgar,NNP,NNP,True,spaCy
Hoover,NNP,NNP,True,spaCy
unwittingly,RB,RB,True,spaCy
employ,VB,NN,False,spaCy
at,IN,IN,True,spaCy
a,DT,DT,True,spaCy
high,JJ,JJ,True,spaCy
level,NN,NN,True,spaCy
members,NNS,NNS,True,spaCy
of,IN,IN,True,spaCy
the,DT,DT,True,spaCy
Weathermen,NNPS,NNP,False,spaCy
bombers,NNS,NNS,True,spaCy
back,RB,RB,True,spaCy
in,IN,IN,True,spaCy
the,DT,DT,True,spaCy
1960s,NNS,NNS,True,spaCy
.,.,.,True,spaCy
The,DT,DT,True,spaCy
third,JJ,JJ,True,spaCy
was,VBD,VBD,True,spaCy
being,VBG,VBG,True,spaCy
run,VBN,VBN,True,spaCy
by,IN,IN,True,spaCy
the,DT,DT,True,spaCy
head,NN,NN,True,spaCy
of,IN,IN,True,spaCy
an,DT,DT,True,spaCy
investment,NN,NN,True,spaCy
firm,NN,NN,True,spaCy
.,.,.,True,spaCy
You,PRP,PRP,True,spaCy
wonder,VBP,VBP,True,spaCy
if,IN,IN,True,spaCy
he,PRP,PRP,True,spaCy
was,VBD,VBD,True,spaCy
manipulating,VBG,VBG,True,spaCy
the,DT,DT,True,spaCy
market,NN,NN,True,spaCy
with,IN,IN,True,spaCy
his,PRP$,PRP$,True,spaCy
bombing,NN,NN,True,spaCy
targets,NNS,NNS,True,spaCy
.,.,.,True,spaCy
The,DT,DT,True,spaCy
cells,NNS,NNS,True,spaCy
were,VBD,VBD,True,spaCy
operating,VBG,VBG,True,spaCy
in,IN,IN,True,spaCy
the,DT,DT,True,spaCy
Ghazaliyah,NNP,NNP,True,spaCy
and,CC,CC,True,spaCy
al,NNP,NNP,True,spaCy
-,HYPH,HYPH,True,spaCy
Jihad,NNP,NNP,True,spaCy
districts,NNS,NNS,True,spaCy
of,IN,IN,True,spaCy
the,DT,DT,True,spaCy
capital,NN,NN,True,spaCy
.,.,.,True,spaCy
Although,IN,IN,True,spaCy
the,DT,DT,True,spaCy
announcement,NN,NN,True,spaCy
was,VBD,VBD,True,spaCy
probably,RB,RB,True,spaCy
made,VBN,VBN,True,spaCy
to,TO,TO,True,spaCy
show,VB,VB,True,spaCy
progress,NN,NN,True,spaCy
in,IN,IN,True,spaCy
identifying,VBG,VBG,True,spaCy
and,CC,CC,True,spaCy
breaking,VBG,VBG,True,spaCy
up,RP,RP,True,spaCy
terror,NN,NN,True,spaCy
cells,NNS,NNS,True,spaCy
",",",",",",True,spaCy
I,PRP,PRP,True,spaCy
do,VBP,VB,False,spaCy
n't,RB,RB,True,spaCy
find,VB,VB,True,spaCy
the,DT,DT,True,spaCy
news,NN,NN,True,spaCy
that,IN,IN,True,spaCy
the,DT,DT,True,spaCy
Baathists,NNPS,NNPS,True,spaCy
continue,VBP,VBP,True,spaCy
to,TO,TO,True,spaCy
penetrate,VB,VB,True,spaCy
the,DT,DT,True,spaCy
Iraqi,JJ,JJ,True,spaCy
government,NN,NN,True,spaCy
very,RB,RB,True,spaCy
hopeful,JJ,JJ,True,spaCy
.,.,.,True,spaCy
It,PRP,PRP,True,spaCy
reminds,VBZ,VBZ,True,spaCy
me,PRP,PRP,True,spaCy
too,RB,RB,True,spaCy
much,RB,JJ,False,spaCy
of,IN,IN,True,spaCy
the,DT,DT,True,spaCy
ARVN,NNP,NNP,True,spaCy
officers,NNS,NNS,True,spaCy
who,WP,WP,True,spaCy
were,VBD,VBD,True,spaCy
secretly,RB,RB,True,spaCy
working,VBG,VBG,True,spaCy
for,IN,IN,True,spaCy
the,DT,DT,True,spaCy
other,JJ,JJ,True,spaCy
side,NN,NN,True,spaCy
in,IN,IN,True,spaCy
Vietnam,NNP,NNP,True,spaCy
.,.,.,True,spaCy
Al,NNP,NNP,True,spaCy
-,HYPH,HYPH,True,spaCy
Zaman,NNP,NNP,True,spaCy
:,:,:,True,spaCy
Guerrillas,NNS,NNP,False,spaCy
killed,VBD,VBD,True,spaCy
a,DT,DT,True,spaCy
member,NN,NN,True,spaCy
of,IN,IN,True,spaCy
the,DT,DT,True,spaCy
Kurdistan,NNP,NNP,True,spaCy
Democratic,NNP,NNP,True,spaCy
Party,NNP,NNP,True,spaCy
after,IN,IN,True,spaCy
kidnapping,VBG,VBG,True,spaCy
him,PRP,PRP,True,spaCy
in,IN,IN,True,spaCy
Mosul,NNP,NNP,True,spaCy
.,.,.,True,spaCy
The,DT,DT,True,spaCy
police,NN,NN,True,spaCy
commander,NN,NN,True,spaCy
of,IN,IN,True,spaCy
Ninevah,NNP,NNP,True,spaCy
Province,NNP,NNP,True,spaCy
announced,VBD,VBD,True,spaCy
that,IN,IN,True,spaCy
bombings,NNS,NNS,True,spaCy
had,VBD,VBD,True,spaCy
declined,VBN,VBN,True,spaCy
80,CD,CD,True,spaCy
percent,NN,NN,True,spaCy
in,IN,IN,True,spaCy
Mosul,NNP,NNP,True,spaCy
",",",",",",True,spaCy
whereas,IN,IN,True,spaCy
there,EX,EX,True,spaCy
had,VBD,VBD,True,spaCy
been,VBN,VBN,True,spaCy
a,DT,DT,True,spaCy
big,JJ,JJ,True,spaCy
jump,NN,NN,True,spaCy
in,IN,IN,True,spaCy
the,DT,DT,True,spaCy
number,NN,NN,True,spaCy
of,IN,IN,True,spaCy
kidnappings,NNS,NNS,True,spaCy
.,.,.,True,spaCy
On,IN,IN,True,spaCy
Wednesday,NNP,NNP,True,spaCy
guerrillas,NNS,NNS,True,spaCy
had,VBD,VBD,True,spaCy
kidnapped,VBN,VBN,True,spaCy
a,DT,DT,True,spaCy
cosmetic,JJ,JJ,True,spaCy
surgeon,NN,NN,True,spaCy
and,CC,CC,True,spaCy
his,PRP$,PRP$,True,spaCy
wife,NN,NN,True,spaCy
while,IN,IN,True,spaCy
they,PRP,PRP,True,spaCy
were,VBD,VBD,True,spaCy
on,IN,IN,True,spaCy
their,PRP$,PRP$,True,spaCy
way,NN,NN,True,spaCy
home,RB,RB,True,spaCy
.,.,.,True,spaCy
In,IN,IN,True,spaCy
Suwayrah,NNP,NNP,True,spaCy
",",",",",",True,spaCy
Kut,NNP,NNP,True,spaCy
Province,NNP,NNP,True,spaCy
",",",",",",True,spaCy
two,CD,CD,True,spaCy
car,NN,NN,True,spaCy
bombs,NNS,NNS,True,spaCy
were,VBD,VBD,True,spaCy
discovered,VBN,VBN,True,spaCy
before,IN,IN,True,spaCy
they,PRP,PRP,True,spaCy
could,MD,MD,True,spaCy
be,VB,VB,True,spaCy
detonated,VBN,VBN,True,spaCy
.,.,.,True,spaCy
